Function	Ease of port	Library	Could No-op and game would run?	Could shim and game would run?
tcp_receive_available		Net		
test_assert_eq		UnitTest	TRUE	
udp_send		Net		
upnp_discover		Net	TRUE	
upnp_error_string		Net	TRUE	
upnp_forward_port		Net	TRUE	
upnp_release_port		Net	TRUE	
upnp_set_description		Net	TRUE	
variable_global_exists		Reflection		
variable_global_set		Reflection		
variable_local_exists		Reflection		
window_default				
window_get_cursor			TRUE	
window_get_fullscreen			TRUE	
window_get_showborder			TRUE	
window_get_width			TRUE	
window_get_x			TRUE	
window_get_y			TRUE	
window_mouse_get_x		KeyboardMouse		
window_mouse_get_y		KeyboardMouse		
window_set_cursor			TRUE	
window_set_fullscreen			TRUE	
window_set_position			TRUE	
window_set_region_scale			TRUE	
window_set_showborder			TRUE	
window_views_mouse_get_x		KeyboardMouse		
window_views_mouse_get_y		KeyboardMouse		
write_buffer		Net		
write_buffer_part		Net		
write_buffer_to_file		Net		
write_byte		Net		
write_short		Net		
write_string		Net		
write_ubyte		Net		
write_uint		Net		
write_ushort		Net		
